"idem","year","Gini_net","gdp_gro","Trade","Gov_ex","Secondary_ed","employ_rate","Education_exp","Health_exp","Soc_kind","Soc_payable","Social_prot_ex_pen","Unemp_tra","Property_taxes","PIT","ind_tx","Corporate_ta","mrp_all","arp_mid","pi_a","pi_m","sav_gdp","RD_gdp","res_1mill","rd","rd1","Gov_debt","cycle","trend","gi_bb","phat0","invwt","mu","mu0","mu1","mu5","mdiff1","iptw","dr1"
"Austria",2001,1.424881637,1.232375672,1.94269547,1.711807229,NA,1.834897339,0.715263657,0.848931672,0.477121255,1.269512944,0.826074803,0.043298437,-3.047798384,-1.014669999,0.893257626,-0.243777086,-1.077494599,-1.153630094,1.170553846,1.093301443,1.429956881,0.299311135,3.44807188,4.93059411,0.428002018,1.822821645,-7.63e-05,1.424957914,0,0.485841351812559,1.94492498283417,0.000161726787224037,0.000161726787224037,0,0,0.000152819681641499,-2.77128789338295,-2.77113507370131
"Austria",2002,1.426511261,1.235885934,1.939319279,1.709269961,NA,1.837272703,0.714708231,0.864436156,0.491361694,1.274157849,0.851258349,0.103887686,-3.099327775,-1.027197871,0.898965635,-0.274221452,-1.095619383,-1.15577825,1.187212957,1.125417898,1.441245604,0.315126113,3.472124955,5.004184826,0.454174125,1.822821645,0.001272804,1.425238457,1,0.485224536348878,2.06090155193841,0.00566021699587127,0,1,0.00566021699587127,-1.06090155193841,2.93989927165252,1.87899771971411
"Austria",2003,1.426511261,1.232868081,1.936976257,1.711807229,NA,1.838534271,0.72202255,0.871334311,0.505149978,1.281033367,0.851258349,0.131586843,-3.088030367,-1.027302846,0.888093431,-0.263863355,-1.050186165,-1.151968606,1.183420628,1.078859236,1.430348942,0.337371395,3.503992944,5.011932601,0.482558818,1.81756537,0.000837978,1.425673283,1,0.484442710651219,2.06422757121422,0.00316300544202019,0,1,0.00316300544202019,-1.06422757121422,2.94464387560377,1.88041630438955
"Austria",2004,1.426511261,1.235476533,1.958727966,1.731588765,1.790988475,1.822984883,0.692788681,0.87730511,0.51851394,1.274157849,0.84509804,0.10931727,-3.114196281,-1.038883952,0.885307737,-0.267450244,-0.989479138,-1.117450427,1.160901315,1.027953997,1.435313691,0.335682512,3.499521399,5.022910975,0.481809706,1.813580989,-0.000119101,1.426630362,0,0.475170729690286,1.90538153371262,0.00425967662988103,0.00425967662988103,0,0,0.00385663256028151,-2.71804821434251,-2.71419158178223
"Austria",2005,1.426511261,1.233711205,1.973875711,1.710963119,1.797267541,1.828659897,0.683223346,0.873067883,0.51851394,1.264817823,0.838849091,0.099058403,-3.170067717,-1.060060224,0.883957261,-0.266503408,-1.001177653,-1.109788646,1.1764428,1.061308607,1.428847223,0.37534166,3.537735317,5.054883285,0.536305888,1.836324116,-0.002688594,1.429199855,0,0.484722389899863,1.94070144015313,0.00710267793058295,0.00710267793058295,0,0,0.00668149935824324,-2.76843245861736,-2.76175095925911
"Austria",2006,1.432969291,1.232842675,1.992245273,1.704150517,1.797267541,1.836165816,0.683082891,0.867216902,0.51851394,1.255272505,0.832508913,0.091719305,-3.214509739,-1.05973275,0.868564505,-0.248982784,-0.999532227,-1.108143198,1.174335638,1.059237036,1.439750363,0.372770282,3.547053023,5.106870877,0.536696149,1.828015064,-0.00139999,1.434369281,0,0.482609116398661,1.93277468099056,0.00706656611413425,0.00706656611413425,0,0,0.00659151395281025,-2.76960676428179,-2.76301525032898
"Austria",2007,1.442479769,1.231129764,2.003541667,1.694605199,1.796574333,1.844321821,0.67321227,0.869421441,0.531478917,1.243038049,0.812913357,0.079916018,-3.180677363,-1.054551314,0.869824325,-0.256858052,-0.997220149,-1.105831134,1.166155675,1.051619819,1.465969479,0.383533522,3.580928569,5.249531987,0.562248437,1.813580989,0.001670715,1.440809054,1,0.479330084954277,2.08624501442547,0.0111767470725903,0,1,0.0111767470725903,-1.08624501442547,3.00936622648586,1.92312121206039
"Austria",2008,1.447158031,1.226539602,2.009132287,1.700703717,1.799340549,1.850186583,0.688099505,0.878493493,0.544068044,1.247973266,0.812913357,0.026544439,-3.224724352,-1.032485314,0.874853337,-0.282088289,-0.993859803,-1.102470791,1.138284901,1.026145651,1.460936811,0.409840171,3.616677745,5.283737652,0.598750593,1.837588438,0.00117499,1.445983041,1,0.473290048289416,2.11286927247729,-0.00620498741347331,0,1,-0.00620498741347331,-1.11286927247729,3.05765573611864,1.94478646364135
"Austria",2009,1.450249108,1.22109156,1.938554958,1.736396502,1.797267541,1.847109741,0.710975408,0.897141146,0.568201724,1.283301229,0.851258349,0.134913401,-3.249159045,-1.054753783,0.887846351,-0.280170886,-1.000003488,-1.108614471,1.169315307,1.054757462,1.412195378,0.414428468,3.617011306,5.107926649,0.585253967,1.903632516,0.001454134,1.448794974,1,0.455308361556471,2.19631371710702,-0.00695425426892271,0,1,-0.00695425426892271,-1.19631371710702,3.18520200912262,1.9888882920156
"Austria",2010,1.44870632,1.229950547,1.994242723,1.725094521,1.800717078,1.849879878,0.710775137,0.897614543,0.568201724,1.285557309,0.86332286,0.147517206,-3.581362798,-1.050939399,0.88641381,-0.279442156,-0.99977106,-1.108382051,1.164842367,1.050698797,1.415065825,0.435541783,3.638461024,5.148661851,0.616320292,1.918030337,-0.000454905,1.449161225,0,0.460590536681524,1.85387922905161,-0.00253192007598702,-0.00253192007598702,0,0,-0.00216195396250409,-2.6857265556438,-2.6878885096063
"Austria",2011,1.44870632,1.230240359,2.020460319,1.7084209,1.800717078,1.851869601,0.699661358,0.885848196,0.568201724,1.269512944,0.832508913,0.109308186,-3.570522159,-1.048507209,0.879656642,-0.294047386,-1.014368865,-1.122979823,1.17745244,1.063573068,1.426896469,0.426296501,3.642498814,5.197468695,0.608280972,1.916980047,0.000454943,1.448251377,1,0.468082625114243,2.13637496105721,-0.00220183762778103,0,1,-0.00220183762778103,-1.13637496105721,3.09497990797334,1.95860494691613
"Austria",2012,1.445604203,1.229678733,2.021189328,1.709269961,1.800029359,1.853850249,0.701045322,0.887730245,0.568201724,1.274157849,0.832508913,0.117748511,-3.694857205,-1.034424006,0.888061766,-0.256511402,-1.012546313,-1.121157284,1.159752009,1.047402214,1.426177595,0.464596841,3.669265468,5.233024202,0.662597605,1.913813852,-0.001238761,1.446842964,0,0.470309609000321,1.88789530071088,0.00111549643926789,0.00111549643926789,0,0,0.000990444046385677,-2.72914938153159,-2.72815893748521
"Austria",2013,1.445604203,1.224472708,2.016209676,1.712649702,1.79518459,1.853698212,0.70279971,0.892728411,0.579783597,1.281033367,0.838849091,0.145892452,-2.613388638,-1.024785666,0.887520904,-0.141071993,-1.109889902,-1.218500889,1.248702245,1.137399262,1.421952428,0.470545728,3.674376106,5.224788025,0.66909364,1.910090546,-0.000501399,1.446105602,0,0.469414502044295,1.88471038852909,0.000113692756389838,0.000113692756389838,0,0,0.000100585162678597,-2.72454525909542,-2.72444467393274
"Austria",2014,1.444044796,1.226319308,2.011707139,1.719331287,1.73239376,1.851716868,0.695931593,0.89702788,0.591064607,1.285557309,0.84509804,0.161217938,-2.990508559,-1.010408646,0.885522549,-0.22387002,-1.065983325,-1.174594294,1.186820229,1.077078768,1.428146192,0.489155206,3.694418699,5.276169997,0.698585144,1.924524888,-0.002096513,1.446141309,0,0.467449073258503,1.87775468933773,0.00068319717364429,0.00068319717364429,0,0,0.000599679522908559,-2.71156188730275,-2.71096220777984
"Austria",2015,1.444044796,1.227884659,2.01041579,1.7084209,1.733197265,1.851869601,0.69019608,0.913813852,0.591064607,1.276461804,0.838849091,0.146128036,-3.420602303,-0.997182994,0.887482039,0.347303078,-1.003774995,-1.112385994,1.109252396,1.000947355,1.44020794,0.484269936,3.700655136,5.32971291,0.697449407,1.928878007,-0.002575188,1.446619984,0,0.472190033453888,1.89462129058269,-0.00235029105262985,-0.00235029105262985,0,0,-0.00210262041474866,-2.73591801505673,-2.73802063547148
"Austria",2016,1.445604203,1.223280057,2.004616617,1.699837726,1.725094521,1.854609638,0.69019608,0.913813852,0.591064607,1.271841607,0.838849091,0.146128036,-3.561396667,-1.0563416,0.892014078,0.371904966,NA,NA,NA,NA,1.447550116,0.494972302,3.718032626,5.382038558,0.716497213,1.918557082,0.000199508,1.445404696,1,0.475352713266377,2.10370104575299,-0.00206947451393003,0,1,-0.00206947451393003,-1.10370104575299,3.04111907359602,1.93741802784303
"Austria",2017,1.444044796,1.22300041,2.02025011,1.691081492,NA,NA,0.681241237,0.913813852,0.591064607,1.260071388,0.819543936,0.113943352,-3.675715873,-1.055377214,0.880813592,0.39176618,NA,NA,NA,NA,1.451653869,0.484601605,3.731421861,5.416732982,0.703473795,1.893614065,0.005905651,1.438139145,1,0.480629503938503,2.08060468990258,0.000193141372334171,0,1,0.000193141372334171,-1.08060468990258,3.00448637498701,1.92388168508443
"Austria",2018,1.444044796,1.224470905,2.032579527,1.686636269,NA,NA,0.681241237,0.913813852,0.591064607,1.252853031,0.806179974,0.079181246,-3.485190803,-1.038891367,0.880813592,0.431306659,NA,NA,NA,NA,1.461127724,0.501301687,3.758387672,5.491484424,0.732465793,1.869019356,0.023405821,1.420638975,1,0.482463255732948,2.07269670408542,0.00296010455398132,0,1,0.00296010455398132,-1.07269670408542,2.9930668892209,1.92037018513548
"Belgium",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",1996,1.409933123,1.236375188,2.072104269,1.721810615,1.507855872,1.76848133,0.768261353,0.792746288,0.77815125,1.195899652,0.92961705,NA,-3.212011033,-0.9168072,0.821521512,0.416474079,-1.002721123,-1.089691018,0.999036572,0.919301946,1.394499887,0.237953209,3.391235755,4.729077879,0.331825724,2.10720997,1.02e-05,1.40992296,1,0.493105596993502,2.02796319104278,0.00336591201356584,0,1,0.00336591201356584,-1.02796319104278,2.859292475276,1.83132928423321
"Belgium",1997,1.411619706,1.238830554,2.09470382,1.709269961,1.507855872,1.769719092,0.760752967,0.767451507,0.755874856,1.190331698,0.924403267,NA,-3.06861277,-0.911292876,0.823649313,0.442793226,-1.014538938,-1.10822788,1.009920172,0.924542107,1.418045342,0.254006382,3.409731001,4.835153162,0.360192566,2.090610708,-0.002869527,1.414489233,0,0.497103948523711,1.98848250461388,0.00344110061729386,0.00344110061729386,0,0,0.00340146775681099,-2.80698108854918,-2.80357962079237
"Belgium",1998,1.419955748,1.234562386,2.091611242,1.704150517,1.496929648,1.769488176,0.764394709,0.770669554,0.763427994,1.181843588,0.916350001,NA,-3.033909035,-0.909185258,0.819652599,0.519565501,-1.035140494,-1.125496748,1.023285051,0.941134477,1.414776643,0.260934347,3.430597888,4.853529763,0.369163819,2.072617477,0.000914184,1.419041564,1,0.493092139262537,2.02801853928474,0.00399224723354497,0,1,0.00399224723354497,-1.02801853928474,2.87969658190793,1.85167804262319
"Belgium",1999,1.423245874,1.236285167,2.093411302,1.699837726,1.487138375,1.773054693,0.757211723,0.7776127,0.770852012,1.173186268,0.905904598,NA,-2.987226189,-0.922521402,0.842457715,0.498586209,-1.02754165,-1.119679855,1.03292863,0.947929164,1.425618012,0.27661803,3.4622753,4.935882028,0.394351646,2.058426024,0.000770916,1.422474958,1,0.492132631009692,2.0319725557485,0.00101327677088325,0,1,0.00101327677088325,-1.0319725557485,2.89199655605029,1.86002400030179
"Belgium",2000,1.424881637,1.239050187,2.149462354,1.691081492,1.498310554,1.781934798,0.739664614,0.780813873,0.770852012,1.158362492,0.894439071,NA,-2.981415804,-0.907441081,0.846016328,0.495544338,-1.066938624,-1.145548829,1.039518067,0.968183938,1.42565837,0.283834721,3.472784849,4.951004788,0.404651346,2.036628895,0.000409352,1.424472285,1,0.49441967424101,2.02257323504594,0.00349622833587127,0,1,0.00349622833587127,-1.02257323504594,2.88192746210465,1.85935422705871
"Belgium",2001,1.424881637,1.230368894,2.14206002,1.691965103,1.50242712,1.777789187,0.751651424,0.800649811,0.792391689,1.164352856,0.897627091,0.368472301,-2.985960706,-0.905315838,0.825076289,0.48315921,-1.087043388,-1.155753377,1.046321837,0.984117596,1.419640292,0.305712415,3.494709525,4.96123045,0.434001662,2.031812271,-0.000499176,1.425380812,0,0.495076751501314,1.98049902232339,0.00151016029710083,0.00151016029710083,0,0,0.00148071069485897,-2.82197668900506,-2.8204959783102
"Belgium",2002,1.426511261,1.231060274,2.130735028,1.694605199,1.514547753,1.777426822,0.759941317,0.793260985,0.792391689,1.178976947,0.908485019,0.402305698,-3.083139676,-0.910099234,0.829383587,0.47099817,-1.098651226,-1.161045795,1.056666888,0.999881639,1.42036587,0.276629515,3.471122199,4.930263503,0.392915122,2.019946682,0.000610664,1.425900597,1,0.492456556857431,2.03063597402665,0.000642730876964981,0,1,0.000642730876964981,-1.03063597402665,2.89672508394072,1.86608910991407
"Belgium",2003,1.424881637,1.226950903,2.120541522,1.705007959,1.51851394,1.77524626,0.768106598,0.828732073,0.812913357,1.184691431,0.919078092,0.418307778,-3.069180125,-0.925985662,0.821617042,0.44684771,-1.096194542,-1.139732663,1.055376104,1.015060429,1.420321721,0.262887538,3.472371702,4.931884951,0.37338488,2.004751156,-0.001419858,1.426301494,0,0.489582342223684,1.95917986920084,0.00314701695019015,0.00314701695019015,0,0,0.00301855530665621,-2.79159941920433,-2.78858086389768
"Belgium",2004,1.426511261,1.229200307,2.133659736,1.689308859,1.530199698,1.780677274,0.748512021,0.831199547,0.826074803,1.178976947,0.913813852,0.41791666,-2.564944813,-0.931408477,0.828348699,0.478277832,-1.06838806,-1.10357797,1.027881876,0.995105696,1.440298276,0.257433765,3.490184026,5.026906035,0.370781408,1.984527313,-0.000868383,1.427379645,0,0.495083483264786,1.98052542718545,0.00229296062703654,0.00229296062703654,0,0,0.00224830619834442,-2.82524182457688,-2.82299351837854
"Belgium",2005,1.42975228,1.229041364,2.156477434,1.712649702,1.544068044,1.785863476,0.753246708,0.834329804,0.832508913,1.176091259,0.908485019,0.402956852,-2.941372058,-0.933251137,0.835752679,0.498310554,-1.038722756,-1.081399362,1.009217183,0.969389193,1.442756726,0.250983244,3.497307057,5.045763279,0.362107763,1.975891136,0.001044763,1.428707517,1,0.481865102012158,2.07526960517421,-0.00424707846742578,0,1,-0.00424707846742578,-1.0752696051742,2.96712144961252,1.89185184443831
"Belgium",2006,1.42975228,1.22757805,2.169362696,1.684845362,1.546542663,1.785329835,0.748378577,0.820951879,0.819543936,1.170261715,0.908485019,0.386344985,-2.788735687,-0.953239144,0.838893829,0.541329578,-1.040186209,-1.082862829,1.032227237,0.991546212,1.447360147,0.258699526,3.516460107,5.089584218,0.374431383,1.959041392,0.000643094,1.429109186,1,0.494640052268871,2.02167211371802,-0.00156563429748791,0,1,-0.00156563429748791,-1.02167211371802,2.89049031400076,1.86881820028274
"Belgium",2007,1.42975228,1.227231966,2.179446742,1.683047038,1.555094449,1.792566773,0.740518084,0.825252833,0.819543936,1.167317335,0.892094603,0.35215214,-2.899723834,-0.964554529,0.840289218,0.532499586,-1.040672116,-1.083348757,1.044948951,1.003785003,1.45846314,0.265791533,3.530842016,5.149602932,0.387647154,1.939519253,0.001443152,1.428309128,1,0.495497269344444,2.01817459321829,-0.00422303026409909,0,1,-0.00422303026409909,-1.01817459321829,2.88548972609193,1.86731513287363
"Belgium",2008,1.424881637,1.221426095,2.201145608,1.701567985,1.571708832,1.79518459,0.754932112,0.855049612,0.851258349,1.184691431,0.913813852,0.347116701,-2.891260673,-0.937147964,0.832940026,0.514946005,-1.037239927,-1.079916538,1.012041585,0.972047286,1.425037734,0.284234411,3.532977535,5.034626301,0.405044761,1.966141733,-0.001704421,1.426586058,0,0.491814045274306,1.96778362467686,-0.00648262936352206,-0.00648262936352206,0,0,-0.00627378254286606,-2.80385875239136,-2.81013253493423
"Belgium",2009,1.424881637,1.218678882,2.134676243,1.733197265,1.57054294,1.789580712,0.780189383,0.888154182,0.886490725,1.222716471,0.963787827,0.418112943,-2.913669449,-0.961696346,0.829924673,0.366422957,-1.032683649,-1.075360276,1.034170048,0.993128092,1.388016813,0.297841455,3.546524772,4.922636011,0.413408947,1.997823081,-0.0005808,1.425462437,0,0.47782312035861,1.91505989443033,-0.00356170399609201,-0.00356170399609201,0,0,-0.00325917248265604,-2.72873367732894,-2.73199284981159
"Belgium",2010,1.424881637,1.229328468,2.179264771,1.726727209,1.550228353,1.792566773,0.778397807,0.88448901,0.880813592,1.214843848,0.954242509,0.394326725,-2.803826782,-0.956570162,0.840049551,0.40363519,-1.031314072,-1.073990696,1.027347454,0.986524268,1.394963297,0.311925426,3.57203836,4.982862405,0.435124521,1.998695158,-0.000110172,1.424991809,0,0.479455988368637,1.92106714832055,0.000264469173701265,0.000264469173701265,0,0,0.000243593867639716,-2.7372933030859,-2.73704970921826
"Belgium",2011,1.424881637,1.223681208,2.211531545,1.7355989,1.564666064,1.791866015,0.789528087,0.881896678,0.892094603,1.214843848,0.954242509,0.37165775,-2.793898798,-0.952435991,0.835858429,0.449478399,-1.058998234,-1.101674857,1.049274784,1.008628033,1.387531151,0.333513774,3.588343874,4.978938904,0.46276075,2.011147361,0.000154465,1.424727171,1,0.476127935570835,2.10027584036019,-0.0038815307365998,0,1,-0.0038815307365998,-1.10027584036019,2.99264447756398,1.89236863720379
"Belgium",2012,1.424881637,1.224491439,2.214830863,1.747411808,1.559906625,1.791164125,0.794853983,0.898153104,0.897627091,1.227886705,0.963787827,0.372070618,-2.612422774,-0.944676693,0.840573905,0.477265995,-1.060285432,-1.102962071,1.041942562,1.001626935,1.375716213,0.356664394,3.614186547,4.972095028,0.490668989,2.018284308,0.000755067,1.424126569,1,0.47068699675424,2.12455412385681,-0.00182423312643176,0,1,-0.00182423312643176,-1.12455412385681,3.0272381578962,1.90268403403938
"Belgium",2013,1.423245874,1.220569191,2.210796732,1.746634199,1.57054294,1.790988475,0.805313486,0.90392681,0.903089987,1.240549248,0.968482949,0.382304053,-2.541582879,-0.926060345,0.84239963,0.492760389,-1.09015777,-1.132834396,1.049073011,1.00955188,1.365975332,0.368087826,3.618666232,4.943008807,0.502798891,2.023663918,0.000464702,1.422781172,1,0.472856528582052,2.11480637266167,-0.00253323009287931,0,1,-0.00253323009287931,-1.11480637266167,3.00988944419963,1.89508307153796
"Belgium",2014,1.421603927,1.223053798,2.218765736,1.742725131,1.564666064,1.791690649,0.802744417,0.906718244,0.903089987,1.238046103,0.959041392,0.348758869,-2.436414476,-0.920339044,0.836680579,0.507720977,-1.088560589,-1.131237186,1.04112175,1.001844811,1.379395993,0.377905179,3.655994158,5.043063692,0.521280889,2.028164419,0.000671042,1.420932885,1,0.475669554144614,2.1022997820373,0.00198518739333697,0,1,0.00198518739333697,-1.1022997820373,2.98863762587546,1.88633784383817
"Belgium",2015,1.421603927,1.22388351,2.188063381,1.729974286,1.5774918,1.790988475,0.806179974,0.897627091,0.886490725,1.230448921,0.939519253,0.301029996,-2.514150408,-0.978410442,0.826912507,0.520972314,-1.033700246,-1.076376878,1.053138376,1.011383114,1.398737824,0.3911522,3.673117307,5.13772811,0.547119377,2.021880118,0.002379818,1.419224109,1,0.481339702189194,2.07753483756248,0.00359120675502234,0,1,0.00359120675502234,-1.07753483756248,2.95343168355813,1.87589684599565
"Belgium",2016,1.419955748,1.218446902,2.197445856,1.72427587,1.575187845,1.794488047,0.799340549,0.886490725,0.886490725,1.227886705,0.939519253,0.255272505,-2.441377371,-1.05812749,0.832573505,0.536956574,NA,NA,NA,NA,1.404004309,0.407552354,3.679474884,5.165998591,0.572205261,2.020713597,0.001080185,1.418875564,1,0.485935924802455,2.05788448426925,0.00108014794869637,0,1,0.00108014794869637,-1.05788448426925,2.92210490215814,1.86422041788889
"Belgium",2017,1.418301291,1.219657308,2.212797819,1.717670503,NA,NA,0.799340549,0.886490725,0.886490725,1.227886705,0.929418926,0.204119983,-2.48175023,-1.059386793,0.832573505,0.61568161,NA,NA,NA,NA,1.40662521,0.43173999,3.67482015,5.169094666,0.607296354,2.007646008,-0.004857672,1.423158963,0,0.490140574692205,1.96132492676058,0.00568444306187588,0.00568444306187588,0,0,0.00546459681013249,-2.781749675695,-2.77628507888487
"Belgium",2018,1.416640507,1.219988653,2.218311346,NA,NA,NA,0.792391689,0.880813592,0.886490725,1.227886705,0.929418926,0.176091259,-2.415498187,-1.048816289,0.838849091,0.642319566,NA,NA,NA,NA,1.403322584,0.450432336,3.700985918,5.193677121,0.632101869,2.000206982,-0.019636445,1.436276953,0,NA,NA,0.00812074726061218,0.00812074726061218,0,0,NA,NA,NA
"Cyprus",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",1996,1.474216264,1.34266607,2.148762127,1.515873844,NA,1.972708306,NA,NA,NA,0.880813592,0.544068044,NA,-2.560202217,-1.53161611,0.627319119,NA,-1.064994345,-1.145037239,1.753757482,1.631162496,1.377061775,-0.702020756,NA,NA,-0.966725948,1.691081492,0.000365686,1.473850578,1,0.520647157096123,1.92068656549944,-0.00462512402370119,0,1,-0.00462512402370119,-0.920686565499439,2.83150737290557,1.91082080740614
"Cyprus",1997,1.472756449,1.342424844,2.145398184,1.531478917,NA,1.974508759,NA,NA,NA,0.908485019,0.556302501,NA,-2.614073999,-1.516907336,0.624480883,NA,-0.883467982,-1.003418713,1.522093207,1.340139062,1.355942179,-0.688670048,NA,NA,-0.933796765,1.72427587,-0.000377585,1.473134034,0,0.5148091513413,2.06104464411165,-0.0041556858062457,-0.0041556858062457,0,0,-0.0044093681673278,-3.03541679129234,-3.03982615945967
