"idem","year","Gini_net","gdp_gro","Trade","Gov_ex","Secondary_ed","employ_rate","Education_exp","Health_exp","Soc_kind","Soc_payable","Social_prot_ex_pen","Unemp_tra","Property_taxes","PIT","ind_tx","Corporate_ta","mrp_all","arp_mid","pi_a","pi_m","sav_gdp","RD_gdp","res_1mill","rd","rd1","Gov_debt","cycle","trend","gi_bb","phat0","invwt","mu","mu0","mu1","mu2","mdiff1","iptw","dr1"
"Austria",2001,1.424881637,1.232375672,1.94269547,1.711807229,NA,1.834897339,0.715263657,0.848931672,0.477121255,1.269512944,0.826074803,0.043298437,-3.047798384,-1.014669999,0.893257626,-0.243777086,-1.077494599,-1.153630094,1.170553846,1.093301443,1.429956881,0.299311135,3.44807188,4.93059411,0.428002018,1.822821645,-7.63e-05,1.424957914,0,0.493651063118964,1.97492268110547,0.000328414591715731,0.000328414591715731,0,0,0.000320178834269659,-2.81403106280199,-2.81371088396772
"Austria",2002,1.426511261,1.235885934,1.939319279,1.709269961,NA,1.837272703,0.714708231,0.864436156,0.491361694,1.274157849,0.851258349,0.103887686,-3.099327775,-1.027197871,0.898965635,-0.274221452,-1.095619383,-1.15577825,1.187212957,1.125417898,1.441245604,0.315126113,3.472124955,5.004184826,0.454174125,1.822821645,0.001272804,1.425238457,1,0.492924971227481,2.02870631104324,0.000942564774317756,0,1,0.000942564774317756,-1.02870631104324,2.89397239796496,1.86526608692171
"Austria",2003,1.426511261,1.232868081,1.936976257,1.711807229,NA,1.838534271,0.72202255,0.871334311,0.505149978,1.281033367,0.851258349,0.131586843,-3.088030367,-1.027302846,0.888093431,-0.263863355,-1.050186165,-1.151968606,1.183420628,1.078859236,1.430348942,0.337371395,3.503992944,5.011932601,0.482558818,1.81756537,0.000837978,1.425673283,1,0.492208708261256,2.0316584879868,0.00687609030587333,0,1,0.00687609030587333,-1.0316584879868,2.8981837116194,1.8665252236326
"Austria",2004,1.426511261,1.235476533,1.958727966,1.731588765,1.790988475,1.822984883,0.692788681,0.87730511,0.51851394,1.274157849,0.84509804,0.10931727,-3.114196281,-1.038883952,0.885307737,-0.267450244,-0.989479138,-1.117450427,1.160901315,1.027953997,1.435313691,0.335682512,3.499521399,5.022910975,0.481809706,1.813580989,-0.000119101,1.426630362,0,0.484031437276698,1.93810257493589,0.00450077300747442,0.00450077300747442,0,0,0.00422218674751369,-2.76472514811914,-2.76050296137162
"Austria",2005,1.426511261,1.233711205,1.973875711,1.710963119,1.797267541,1.828659897,0.683223346,0.873067883,0.51851394,1.264817823,0.838849091,0.099058403,-3.170067717,-1.060060224,0.883957261,-0.266503408,-1.001177653,-1.109788646,1.1764428,1.061308607,1.428847223,0.37534166,3.537735317,5.054883285,0.536305888,1.836324116,-0.002688594,1.429199855,0,0.492462969284285,1.97029958304683,0.00558393302569171,0.00558393302569171,0,0,0.0054180878865901,-2.81065454275991,-2.80523645487332
"Austria",2006,1.432969291,1.232842675,1.992245273,1.704150517,1.797267541,1.836165816,0.683082891,0.867216902,0.51851394,1.255272505,0.832508913,0.091719305,-3.214509739,-1.05973275,0.868564505,-0.248982784,-0.999532227,-1.108143198,1.174335638,1.059237036,1.439750363,0.372770282,3.547053023,5.106870877,0.536696149,1.828015064,-0.00139999,1.434369281,0,0.489755171751772,1.9598434803018,0.00876888756797922,0.00876888756797922,0,0,0.00841675956162433,-2.80839552243904,-2.79997876287741
"Austria",2007,1.442479769,1.231129764,2.003541667,1.694605199,1.796574333,1.844321821,0.67321227,0.869421441,0.531478917,1.243038049,0.812913357,0.079916018,-3.180677363,-1.054551314,0.869824325,-0.256858052,-0.997220149,-1.105831134,1.166155675,1.051619819,1.465969479,0.383533522,3.580928569,5.249531987,0.562248437,1.813580989,0.001670715,1.440809054,1,0.485616430854795,2.05923839570208,0.00891217885446394,0,1,0.00891217885446394,-1.05923839570208,2.97040972534827,1.91117132964619
"Austria",2008,1.447158031,1.226539602,2.009132287,1.700703717,1.799340549,1.850186583,0.688099505,0.878493493,0.544068044,1.247973266,0.812913357,0.026544439,-3.224724352,-1.032485314,0.874853337,-0.282088289,-0.993859803,-1.102470791,1.138284901,1.026145651,1.460936811,0.409840171,3.616677745,5.283737652,0.598750593,1.837588438,0.00117499,1.445983041,1,0.479634830483683,2.08491947716049,0.0132406123445559,0,1,0.0132406123445559,-1.08491947716049,3.01720796536112,1.93228848820063
"Austria",2009,1.450249108,1.22109156,1.938554958,1.736396502,1.797267541,1.847109741,0.710975408,0.897141146,0.568201724,1.283301229,0.851258349,0.134913401,-3.249159045,-1.054753783,0.887846351,-0.280170886,-1.000003488,-1.108614471,1.169315307,1.054757462,1.412195378,0.414428468,3.617011306,5.107926649,0.585253967,1.903632516,0.001454134,1.448794974,1,0.463281503379929,2.15851483969114,-0.0047955324115192,0,1,-0.0047955324115192,-1.15851483969114,3.13038422086684,1.9718693811757
"Austria",2010,1.44870632,1.229950547,1.994242723,1.725094521,1.800717078,1.849879878,0.710775137,0.897614543,0.568201724,1.285557309,0.86332286,0.147517206,-3.581362798,-1.050939399,0.88641381,-0.279442156,-0.99977106,-1.108382051,1.164842367,1.050698797,1.415065825,0.435541783,3.638461024,5.148661851,0.616320292,1.918030337,-0.000454905,1.449161225,0,0.468228884328163,1.88050830616591,-0.00682728436486557,-0.00682728436486557,0,0,-0.00601148059182076,-2.72430426795504,-2.73031574854687
"Austria",2011,1.44870632,1.230240359,2.020460319,1.7084209,1.800717078,1.851869601,0.699661358,0.885848196,0.568201724,1.269512944,0.832508913,0.109308186,-3.570522159,-1.048507209,0.879656642,-0.294047386,-1.014368865,-1.122979823,1.17745244,1.063573068,1.426896469,0.426296501,3.642498814,5.197468695,0.608280972,1.916980047,0.000454943,1.448251377,1,0.474860447662441,2.10588185417974,-0.00712051820079807,0,1,-0.00712051820079807,-1.10588185417974,3.0508043513235,1.94492249714377
"Austria",2012,1.445604203,1.229678733,2.021189328,1.709269961,1.800029359,1.853850249,0.701045322,0.887730245,0.568201724,1.274157849,0.832508913,0.117748511,-3.694857205,-1.034424006,0.888061766,-0.256511402,-1.012546313,-1.121157284,1.159752009,1.047402214,1.426177595,0.464596841,3.669265468,5.233024202,0.662597605,1.913813852,-0.001238761,1.446842964,0,0.477224899245464,1.91286845635278,-0.00257468968886276,-0.00257468968886276,0,0,-0.00235035300185958,-2.76525068028971,-2.76760103329157
"Austria",2013,1.445604203,1.224472708,2.016209676,1.712649702,1.79518459,1.853698212,0.70279971,0.892728411,0.579783597,1.281033367,0.838849091,0.145892452,-2.613388638,-1.024785666,0.887520904,-0.141071993,-1.109889902,-1.218500889,1.248702245,1.137399262,1.421952428,0.470545728,3.674376106,5.224788025,0.66909364,1.910090546,-0.000501399,1.446105602,0,0.476389858318596,1.90981785950292,-0.001997745067009,-0.001997745067009,0,0,-0.00181758414069865,-2.76084072466189,-2.76265830880258
"Austria",2014,1.444044796,1.226319308,2.011707139,1.719331287,1.73239376,1.851716868,0.695931593,0.89702788,0.591064607,1.285557309,0.84509804,0.161217938,-2.990508559,-1.010408646,0.885522549,-0.22387002,-1.065983325,-1.174594294,1.186820229,1.077078768,1.428146192,0.489155206,3.694418699,5.276169997,0.698585144,1.924524888,-0.002096513,1.446141309,0,0.474867139616837,1.90427999358172,0.00190661800443004,0.00190661800443004,0,0,0.00172411651680879,-2.7498656148586,-2.74814149834179
"Austria",2015,1.444044796,1.227884659,2.01041579,1.7084209,1.733197265,1.851869601,0.69019608,0.913813852,0.591064607,1.276461804,0.838849091,0.146128036,-3.420602303,-0.997182994,0.887482039,0.347303078,-1.003774995,-1.112385994,1.109252396,1.000947355,1.44020794,0.484269936,3.700655136,5.32971291,0.697449407,1.928878007,-0.002575188,1.446619984,0,0.479073953458089,1.91965828285675,0.000855058279603416,0.000855058279603416,0,0,0.000786361429162524,-2.77207255345759,-2.77128619202842
"Austria",2016,1.445604203,1.223280057,2.004616617,1.699837726,1.725094521,1.854609638,0.69019608,0.913813852,0.591064607,1.271841607,0.838849091,0.146128036,-3.561396667,-1.0563416,0.892014078,0.371904966,NA,NA,NA,NA,1.447550116,0.494972302,3.718032626,5.382038558,0.716497213,1.918557082,0.000199508,1.445404696,1,0.481631859793604,2.07627460614531,0.00110972958329492,0,1,0.00110972958329492,-1.07627460614531,3.00147129722584,1.92519669108052
"Austria",2017,1.444044796,1.22300041,2.02025011,1.691081492,NA,NA,0.681241237,0.913813852,0.591064607,1.260071388,0.819543936,0.113943352,-3.675715873,-1.055377214,0.880813592,0.39176618,NA,NA,NA,NA,1.451653869,0.484601605,3.731421861,5.416732982,0.703473795,1.893614065,0.005905651,1.438139145,1,0.486495985726865,2.0555154191168,-0.00215557924449916,0,1,-0.00215557924449916,-1.0555154191168,2.96825634407338,1.91274092495658
"Austria",2018,1.444044796,1.224470905,2.032579527,1.686636269,NA,NA,0.681241237,0.913813852,0.591064607,1.252853031,0.806179974,0.079181246,-3.485190803,-1.038891367,0.880813592,0.431306659,NA,NA,NA,NA,1.461127724,0.501301687,3.758387672,5.491484424,0.732465793,1.869019356,0.023405821,1.420638975,1,0.488129308420178,2.04863748754707,-0.00149812972952312,0,1,-0.00149812972952312,-1.04863748754707,2.95832430278286,1.90968681523579
"Belgium",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",1992,1.372912003,1.23933075,2.057724911,NA,1.463892989,1.778257273,NA,NA,NA,NA,NA,NA,-3.50897023,-0.918354878,NA,0.182129214,-1.020810971,-1.112705162,1.021858213,0.937466734,1.396130283,NA,NA,NA,NA,NA,-0.003959402,1.376871405,0,NA,NA,0.00372921492724587,0.00372921492724587,0,0,NA,NA,NA
"Belgium",1993,1.387389826,1.233489438,2.034232996,NA,1.456366033,1.77337868,NA,NA,NA,NA,NA,NA,-3.069752712,-0.89556405,NA,0.284430734,-1.022601084,-1.115776889,0.99924967,0.915804768,1.398711918,NA,NA,NA,NA,NA,0.002683682,1.384706144,1,NA,NA,0.00402430848271695,0,1,0.00402430848271695,NA,NA,NA
"Belgium",1994,1.399673721,1.239072353,2.050722621,NA,1.475671188,1.76844466,NA,NA,NA,NA,NA,NA,-3.055170159,-0.90350211,NA,0.335658452,-1.033159274,-1.128147548,1.01928369,0.933461584,1.40794756,NA,NA,NA,NA,NA,0.004388522,1.395285199,1,NA,NA,0.00252814891853714,0,1,0.00252814891853714,NA,NA,NA
"Belgium",1995,1.40654018,1.229974592,2.062623774,1.719331287,1.494154594,1.768402985,0.76004427,0.769860071,0.755874856,1.193124598,0.927146301,NA,-3.151087379,-0.904473073,0.81226144,0.363235804,-1.015188797,-1.107583675,1.001779611,0.918210931,1.408934072,NA,NA,NA,NA,2.115610512,0.002565472,1.403974709,1,0.506561659149744,1.9740933446848,-0.00473757493281779,0,1,-0.00473757493281779,-0.974093344684799,2.77664160836976,1.80254826368496
"Belgium",1996,1.409933123,1.236375188,2.072104269,1.721810615,1.507855872,1.76848133,0.768261353,0.792746288,0.77815125,1.195899652,0.92961705,NA,-3.212011033,-0.9168072,0.821521512,0.416474079,-1.002721123,-1.089691018,0.999036572,0.919301946,1.394499887,0.237953209,3.391235755,4.729077879,0.331825724,2.10720997,1.02e-05,1.40992296,1,0.502031665210501,1.99190622683273,-0.00174739048068795,0,1,-0.00174739048068795,-0.991906226832727,2.80845456712141,1.81654834028869
"Belgium",1997,1.411619706,1.238830554,2.09470382,1.709269961,1.507855872,1.769719092,0.760752967,0.767451507,0.755874856,1.190331698,0.924403267,NA,-3.06861277,-0.911292876,0.823649313,0.442793226,-1.014538938,-1.10822788,1.009920172,0.924542107,1.418045342,0.254006382,3.409731001,4.835153162,0.360192566,2.090610708,-0.002869527,1.414489233,0,0.505367464226958,2.02170283529194,0.00365592296011141,0.00365592296011141,0,0,0.00373526685395473,-2.85387556197417,-2.85014029512022
"Belgium",1998,1.419955748,1.234562386,2.091611242,1.704150517,1.496929648,1.769488176,0.764394709,0.770669554,0.763427994,1.181843588,0.916350001,NA,-3.033909035,-0.909185258,0.819652599,0.519565501,-1.035140494,-1.125496748,1.023285051,0.941134477,1.414776643,0.260934347,3.430597888,4.853529763,0.369163819,2.072617477,0.000914184,1.419041564,1,0.500712620949557,1.99715357304872,0.00328762966391438,0,1,0.00328762966391438,-0.997153573048724,2.83586969568927,1.83871612264055
"Belgium",1999,1.423245874,1.236285167,2.093411302,1.699837726,1.487138375,1.773054693,0.757211723,0.7776127,0.770852012,1.173186268,0.905904598,NA,-2.987226189,-0.922521402,0.842457715,0.498586209,-1.02754165,-1.119679855,1.03292863,0.947929164,1.425618012,0.27661803,3.4622753,4.935882028,0.394351646,2.058426024,0.000770916,1.422474958,1,0.499454916766559,2.00218271245369,0.00328535777312644,0,1,0.00328535777312644,-1.00218271245369,2.84959828449384,1.84741557204015
"Belgium",2000,1.424881637,1.239050187,2.149462354,1.691081492,1.498310554,1.781934798,0.739664614,0.780813873,0.770852012,1.158362492,0.894439071,NA,-2.981415804,-0.907441081,0.846016328,0.495544338,-1.066938624,-1.145548829,1.039518067,0.968183938,1.42565837,0.283834721,3.472784849,4.951004788,0.404651346,2.036628895,0.000409352,1.424472285,1,0.50128801499921,1.9948611777634,0.00400615413705396,0,1,0.00400615413705396,-0.994861177763399,2.84244106055926,1.84757988279586
"Belgium",2001,1.424881637,1.230368894,2.14206002,1.691965103,1.50242712,1.777789187,0.751651424,0.800649811,0.792391689,1.164352856,0.897627091,0.368472301,-2.985960706,-0.905315838,0.825076289,0.48315921,-1.087043388,-1.155753377,1.046321837,0.984117596,1.419640292,0.305712415,3.494709525,4.96123045,0.434001662,2.031812271,-0.000499176,1.425380812,0,0.501796339953516,2.00721126759024,0.000943341717245749,0.000943341717245749,0,0,0.000950144406797846,-2.86003847676883,-2.85908833236203
"Belgium",2002,1.426511261,1.231060274,2.130735028,1.694605199,1.514547753,1.777426822,0.759941317,0.793260985,0.792391689,1.178976947,0.908485019,0.402305698,-3.083139676,-0.910099234,0.829383587,0.47099817,-1.098651226,-1.161045795,1.056666888,0.999881639,1.42036587,0.276629515,3.471122199,4.930263503,0.392915122,2.019946682,0.000610664,1.425900597,1,0.499276714728251,2.00289733228253,0.00373227134530452,0,1,0.00373227134530452,-1.00289733228253,2.85715559912789,1.85425826684536
"Belgium",2003,1.424881637,1.226950903,2.120541522,1.705007959,1.51851394,1.77524626,0.768106598,0.828732073,0.812913357,1.184691431,0.919078092,0.418307778,-3.069180125,-0.925985662,0.821617042,0.44684771,-1.096194542,-1.139732663,1.055376104,1.015060429,1.420321721,0.262887538,3.472371702,4.931884951,0.37338488,2.004751156,-0.001419858,1.426301494,0,0.496912519925043,1.98772587195174,0.00306997846343937,0.00306997846343937,0,0,0.00303229715467373,-2.83227409433385,-2.82924179717918
"Belgium",2004,1.426511261,1.229200307,2.133659736,1.689308859,1.530199698,1.780677274,0.748512021,0.831199547,0.826074803,1.178976947,0.913813852,0.41791666,-2.564944813,-0.931408477,0.828348699,0.478277832,-1.06838806,-1.10357797,1.027881876,0.995105696,1.440298276,0.257433765,3.490184026,5.026906035,0.370781408,1.984527313,-0.000868383,1.427379645,0,0.501582478555773,2.0063500117379,0.00242986320745953,0.00242986320745953,0,0,0.00244529286734839,-2.8620808852516,-2.85963559238425
"Belgium",2005,1.42975228,1.229041364,2.156477434,1.712649702,1.544068044,1.785863476,0.753246708,0.834329804,0.832508913,1.176091259,0.908485019,0.402956852,-2.941372058,-0.933251137,0.835752679,0.498310554,-1.038722756,-1.081399362,1.009217183,0.969389193,1.442756726,0.250983244,3.497307057,5.045763279,0.362107763,1.975891136,0.001044763,1.428707517,1,0.489480332072707,2.04298300560003,0.00465768585335935,0,1,0.00465768585335935,-1.04298300560003,2.9209596102579,1.87797660465787
"Belgium",2006,1.42975228,1.22757805,2.169362696,1.684845362,1.546542663,1.785329835,0.748378577,0.820951879,0.819543936,1.170261715,0.908485019,0.386344985,-2.788735687,-0.953239144,0.838893829,0.541329578,-1.040186209,-1.082862829,1.032227237,0.991546212,1.447360147,0.258699526,3.516460107,5.089584218,0.374431383,1.959041392,0.000643094,1.429109186,1,0.500759344197134,1.99696722904552,0.00340926971270061,0,1,0.00340926971270061,-0.996967229045515,2.85516844881311,1.85820121976759
"Belgium",2007,1.42975228,1.227231966,2.179446742,1.683047038,1.555094449,1.792566773,0.740518084,0.825252833,0.819543936,1.167317335,0.892094603,0.35215214,-2.899723834,-0.964554529,0.840289218,0.532499586,-1.040672116,-1.083348757,1.044948951,1.003785003,1.45846314,0.265791533,3.530842016,5.149602932,0.387647154,1.939519253,0.001443152,1.428309128,1,0.501513893823035,1.99396270435702,-0.00397318148790715,0,1,-0.00397318148790715,-0.993962704357023,2.85087272278942,1.8569100184324
"Belgium",2008,1.424881637,1.221426095,2.201145608,1.701567985,1.571708832,1.79518459,0.754932112,0.855049612,0.851258349,1.184691431,0.913813852,0.347116701,-2.891260673,-0.937147964,0.832940026,0.514946005,-1.037239927,-1.079916538,1.012041585,0.972047286,1.425037734,0.284234411,3.532977535,5.034626301,0.405044761,1.966141733,-0.001704421,1.426586058,0,0.498838811191427,1.99536600664815,-0.00104500984128464,-0.00104500984128464,0,0,-0.0010401672726275,-2.84316038196696,-2.84420054923959
"Belgium",2009,1.424881637,1.218678882,2.134676243,1.733197265,1.57054294,1.789580712,0.780189383,0.888154182,0.886490725,1.222716471,0.963787827,0.418112943,-2.913669449,-0.961696346,0.829924673,0.366422957,-1.032683649,-1.075360276,1.034170048,0.993128092,1.388016813,0.297841455,3.546524772,4.922636011,0.413408947,1.997823081,-0.0005808,1.425462437,0,0.486447570990454,1.94722085518831,-0.0042349380255462,-0.0042349380255462,0,0,-0.00401142161822734,-2.77455923974125,-2.77857066135948
"Belgium",2010,1.424881637,1.229328468,2.179264771,1.726727209,1.550228353,1.792566773,0.778397807,0.88448901,0.880813592,1.214843848,0.954242509,0.394326725,-2.803826782,-0.956570162,0.840049551,0.40363519,-1.031314072,-1.073990696,1.027347454,0.986524268,1.394963297,0.311925426,3.57203836,4.982862405,0.435124521,1.998695158,-0.000110172,1.424991809,0,0.487980193770826,1.95304944815438,-0.00635241901389616,-0.00635241901389616,0,0,-0.0060541694356391,-2.78286429482815,-2.78891846426379
"Belgium",2011,1.424881637,1.223681208,2.211531545,1.7355989,1.564666064,1.791866015,0.789528087,0.881896678,0.892094603,1.214843848,0.954242509,0.37165775,-2.793898798,-0.952435991,0.835858429,0.449478399,-1.058998234,-1.101674857,1.049274784,1.008628033,1.387531151,0.333513774,3.588343874,4.978938904,0.46276075,2.011147361,0.000154465,1.424727171,1,0.484989904139286,2.06189859101233,-0.00317169437812126,0,1,-0.00317169437812126,-1.06189859101233,2.93796143968964,1.87606284867731
"Belgium",2012,1.424881637,1.224491439,2.214830863,1.747411808,1.559906625,1.791164125,0.794853983,0.898153104,0.897627091,1.227886705,0.963787827,0.372070618,-2.612422774,-0.944676693,0.840573905,0.477265995,-1.060285432,-1.102962071,1.041942562,1.001626935,1.375716213,0.356664394,3.614186547,4.972095028,0.490668989,2.018284308,0.000755067,1.424126569,1,0.480183291779103,2.08253809976384,0.000658108130177748,0,1,0.000658108130177748,-1.08253809976384,2.96737029670638,1.88483219694253
"Belgium",2013,1.423245874,1.220569191,2.210796732,1.746634199,1.57054294,1.790988475,0.805313486,0.90392681,0.903089987,1.240549248,0.968482949,0.382304053,-2.541582879,-0.926060345,0.84239963,0.492760389,-1.09015777,-1.132834396,1.049073011,1.00955188,1.365975332,0.368087826,3.618666232,4.943008807,0.502798891,2.023663918,0.000464702,1.422781172,1,0.48228084738434,2.07348063980463,-0.00443254884975675,0,1,-0.00443254884975675,-1.07348063980463,2.95107276542082,1.87759212561619
"Belgium",2014,1.421603927,1.223053798,2.218765736,1.742725131,1.564666064,1.791690649,0.802744417,0.906718244,0.903089987,1.238046103,0.959041392,0.348758869,-2.436414476,-0.920339044,0.836680579,0.507720977,-1.088560589,-1.131237186,1.04112175,1.001844811,1.379395993,0.377905179,3.655994158,5.043063692,0.521280889,2.028164419,0.000671042,1.420932885,1,0.485001486256214,2.0618493516775,-0.00252773643273496,0,1,-0.00252773643273496,-1.0618493516775,2.93113313522714,1.86928378354964
"Belgium",2015,1.421603927,1.22388351,2.188063381,1.729974286,1.5774918,1.790988475,0.806179974,0.897627091,0.886490725,1.230448921,0.939519253,0.301029996,-2.514150408,-0.978410442,0.826912507,0.520972314,-1.033700246,-1.076376878,1.053138376,1.011383114,1.398737824,0.3911522,3.673117307,5.13772811,0.547119377,2.021880118,0.002379818,1.419224109,1,0.490022963347152,2.0407206902497,-0.00323640776680545,0,1,-0.00323640776680545,-1.04072069024969,2.90109654716912,1.86037585691942
"Belgium",2016,1.419955748,1.218446902,2.197445856,1.72427587,1.575187845,1.794488047,0.799340549,0.886490725,0.886490725,1.227886705,0.939519253,0.255272505,-2.441377371,-1.05812749,0.832573505,0.536956574,NA,NA,NA,NA,1.404004309,0.407552354,3.679474884,5.165998591,0.572205261,2.020713597,0.001080185,1.418875564,1,0.494253675372384,2.02325253170161,0.000798516732274379,0,1,0.000798516732274379,-1.02325253170161,2.87292906204525,1.84967653034364
"Belgium",2017,1.418301291,1.219657308,2.212797819,1.717670503,NA,NA,0.799340549,0.886490725,0.886490725,1.227886705,0.929418926,0.204119983,-2.48175023,-1.059386793,0.832573505,0.61568161,NA,NA,NA,NA,1.40662521,0.43173999,3.67482015,5.169094666,0.607296354,2.007646008,-0.004857672,1.423158963,0,0.498193460190394,1.99279985545708,0.00212745901330624,0.00212745901330624,0,0,0.0021121410009013,-2.82639060769939,-2.82427846669849
"Belgium",2018,1.416640507,1.219988653,2.218311346,NA,NA,NA,0.792391689,0.880813592,0.886490725,1.227886705,0.929418926,0.176091259,-2.415498187,-1.048816289,0.838849091,0.642319566,NA,NA,NA,NA,1.403322584,0.450432336,3.700985918,5.193677121,0.632101869,2.000206982,-0.019636445,1.436276953,0,NA,NA,-0.00139799069131463,-0.00139799069131463,0,0,NA,NA,NA
"Cyprus",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",1992,1.477121255,1.367549506,2.041775514,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.757980134,-1.524502617,NA,NA,-1.030192373,-1.145221052,1.745892492,1.570530968,1.243431778,NA,NA,NA,NA,NA,-0.000253505,1.47737476,0,NA,NA,0.00824889363474002,0.00824889363474002,0,0,NA,NA,NA
"Cyprus",1993,1.475671188,1.344902575,1.979622915,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.848136587,-1.466513358,NA,NA,-1.048839357,-1.144549902,1.678497719,1.538136927,1.373905951,NA,NA,NA,NA,NA,-0.001862026,1.477533214,0,NA,NA,-0.0180680865963523,-0.0180680865963523,0,0,NA,NA,NA
